building_id,15min,30min,60min,15min Scores,30min Scores,60min Scores,15min Overall Scores,30min Overall Scores,60min Overall Scores
1223306806,"{'bus_stop': 16, 'pitch': 6, 'fast_food': 5, 'restaurant': 4, 'cafe': 4, 'small_supermarket': 3, 'pub': 3, 'school': 2, 'atm': 2, 'community_centre': 2, 'grave_yard': 2, 'playground': 2, 'place_of_worship': 2, 'post_office': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1223306807,"{'bus_stop': 16, 'pitch': 6, 'fast_food': 5, 'restaurant': 4, 'cafe': 4, 'small_supermarket': 3, 'pub': 3, 'school': 2, 'atm': 2, 'community_centre': 2, 'grave_yard': 2, 'playground': 2, 'place_of_worship': 2, 'post_office': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1223306808,"{'bus_stop': 17, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1223306809,"{'bus_stop': 17, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1223306810,"{'bus_stop': 16, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'atm': 2, 'playground': 2, 'school': 2, 'grave_yard': 2, 'place_of_worship': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1223306813,"{'bus_stop': 16, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'atm': 2, 'playground': 2, 'school': 2, 'grave_yard': 2, 'place_of_worship': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1223306814,"{'bus_stop': 16, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'atm': 2, 'playground': 2, 'school': 2, 'grave_yard': 2, 'place_of_worship': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1223306811,"{'bus_stop': 17, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1223306812,"{'bus_stop': 17, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1223306817,"{'bus_stop': 17, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1223306815,"{'bus_stop': 16, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1223306818,"{'bus_stop': 18, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
1223306820,"{'bus_stop': 16, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'atm': 2, 'playground': 2, 'school': 2, 'grave_yard': 2, 'place_of_worship': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.49, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.78}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}","{'Education': 1, 'Food & Drink': 1, 'Groceries': 0.5, 'Postal': 1.0, 'Banking': 0.8, 'Religion': 1.0, 'Entertainment': 0.63, 'Healthcare': 0.0, 'Public Services': 0.0, 'Public Transport': 0.4, 'Dedicated Greenspaces': 0.86}",60.03,62.31,62.31
